date,BTC-USD,fng_value,confidence
2022-09-14,20241.08984375,27,0.0878
2022-09-15,19701.2109375,28,0.0907
2022-09-16,19772.583984375,20,0.0829
2022-09-17,20127.576171875,22,0.1037
2022-09-18,19419.505859375,27,0.1004
2022-09-19,19544.12890625,21,0.0837
2022-09-20,18890.7890625,23,0.0824
2022-09-21,18547.400390625,23,0.067
2022-09-22,19413.55078125,22,0.0535
2022-09-23,19297.638671875,20,0.0703
2022-09-24,18937.01171875,24,0.0768
2022-09-25,18802.09765625,24,0.0675
2022-09-26,19222.671875,21,0.0673
2022-09-27,19110.546875,20,0.0611
2022-09-28,19426.720703125,20,0.0721
2022-09-29,19573.05078125,22,0.076
2022-09-30,19431.7890625,21,0.0882
2022-10-01,19312.095703125,20,0.0887
2022-10-02,19044.107421875,24,0.0768
2022-10-03,19623.580078125,24,0.0746
2022-10-04,20336.84375,20,0.0882
2022-10-05,20160.716796875,25,0.1063
2022-10-06,19955.443359375,26,0.0997
2022-10-07,19546.849609375,23,0.1001
2022-10-08,19416.568359375,24,0.0936
2022-10-09,19446.42578125,22,0.0832
2022-10-10,19141.484375,22,0.0893
2022-10-11,19051.41796875,24,0.0838
2022-10-12,19157.4453125,20,0.0731
2022-10-13,19382.904296875,20,0.0773
2022-10-14,19185.65625,24,0.0845
2022-10-15,19067.634765625,24,0.0799
2022-10-16,19268.09375,24,0.0751
2022-10-17,19550.7578125,20,0.0805
2022-10-18,19334.416015625,22,0.081
2022-10-19,19139.53515625,23,0.0828
2022-10-20,19053.740234375,23,0.0777
2022-10-21,19172.46875,23,0.0803
2022-10-22,19208.189453125,20,0.0735
2022-10-23,19567.0078125,23,0.0851
2022-10-24,19345.572265625,22,0.0837
2022-10-25,20095.857421875,20,0.0763
2022-10-26,20770.44140625,33,0.1035
2022-10-27,20285.8359375,32,0.1055
2022-10-28,20595.3515625,30,0.1122
2022-10-29,20818.4765625,34,0.11
2022-10-30,20635.603515625,34,0.1118
2022-10-31,20495.7734375,31,0.1242
2022-11-01,20485.2734375,30,0.1143
2022-11-02,20159.50390625,30,0.1059
